,X,after_wrms_name,AlphiaID,gen_spp,kingdom,subkingdom,infrakingdom,phylum,subphylum,infraphylum,superclass,class,superorder,order,suborder,family,subfamily,genus,species,tribe,superfamily,na,wormsid_kingdom,wormsid_subkingdom,wormsid_infrakingdom,wormsid_phylum,wormsid_subphylum,wormsid_infraphylum,wormsid_superclass,wormsid_class,wormsid_superorder,wormsid_order,wormsid_suborder,wormsid_family,wormsid_subfamily,wormsid_genus,wormsid_species,wormsid_tribe,wormsid_superfamily,wormsid_na,species_ID
56,56,NA,1015896,Schizothorax prenanti,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Cyprinidae,NA,Schizothorax,Schizothorax prenanti,NA,Cyprinoidea,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,162846,NA,163342,NA,638910,690079,NA,638796,NA,SP47
60,60,NA,1020560,Spinibarbus sinensis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,NA,Cypriniformes,NA,Cyprinidae,NA,Spinibarbus,sinensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP48
66,66,NA,567546,Prosopium williamsoni,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Coregoninae,Prosopium,Prosopium williamsoni,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161928,161929,NA,161931,623284,162007,162009,NA,NA,NA,SP95
67,67,NA,1021911,Gadopsis marmoratus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Percichthyidae,NA,Gadopsis,Gadopsis marmoratus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,170315,NA,170220,170221,NA,NA,NA,SP96
68,68,NA,1012067,Gadopsis bispinosus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Percichthyidae,NA,Gadopsis,Gadopsis bispinosus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,170315,NA,170220,641887,NA,NA,NA,SP97
70,70,NA,154292,Barbus barbus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Cyprinidae,NA,Barbus,Barbus barbus,NA,Cyprinoidea,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,162846,NA,163342,NA,163618,163619,NA,638796,NA,SP99
87,87,NA,1016104,Oreochromis esculentus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Cichlidae,NA,Oreochromis,Oreochromis esculentus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,170476,169770,NA,170014,648840,NA,NA,NA,SP117
84,84,Zoramia leptacanthus,713323,Zoramia leptacanthus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,NA,Kurtiformes,NA,Apogonidae,Apogoninae,Zoramia,Zoramia leptacanthus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP114
29,29,Gymnocephalus cernua,405451,Gymnocephalus cernuus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Percidae,NA,Gymnocephalus,Gymnocephalus cernuus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,168356,NA,168519,168520,NA,NA,NA,SP63
6,6,Aphaniops dispar,316333,aphanius dispar,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Cyprinodontoidei,Cyprinodontidae,Cyprinodontinae,Aphanius,Aphanius dispar,Orestiini,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,553130,165614,165629,646796,165721,165722,646798,NA,NA,SP15
25,25,Gadus chalcogrammus,300735,Gadus chalcogrammus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Gadiformes,NA,Gadidae,Gadinae,Gadus,Gadus chalcogrammus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,164385,164665,NA,164701,550569,164710,934083,NA,NA,NA,SP59
59,59,Siniperca knerii,282798,Siniperca knerii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Percichthyidae,NA,Siniperca,Siniperca knerii,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,170315,NA,641853,641921,NA,NA,NA,SP10
34,34,Lepidopsetta polyxystra,281307,Lepidopsetta polyxystra,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Pleuronectiformes,Pleuronectoidei,Pleuronectidae,Pleuronectinae,Lepidopsetta,Lepidopsetta polyxystra,Microstomini,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,172702,172707,172859,615941,172879,616392,615946,NA,NA,SP86
28,28,Geophagus brasiliensis,280831,geophagus brasiliensis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Cichlidae,NA,Geophagus,Geophagus brasiliensis,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,170476,169770,NA,169914,169915,NA,NA,NA,SP30
