initials,in_2.0_search,study_ID,complete?,fish_source,captive_#_generations,peer_reviewed,title,data_collection_year,pub_year,journal,thesis_chapter,supplementary-data,doi,citation-APA,notes
LG,yes,1_0030,,captivity,many,yes,Growth and feed conversion ratio of diploid and triploid induced juvenile turbot reared at different water temperatures,NA,2021,Aquaculture,n/a,yes,doi.org/10.1016/j.aquaculture.2021.736981,"Aydın, İ., Küçük, E., Polat, H., Öztürk, R. Ç., Terzi, Y., & Altınok, İ. (2021). Growth and feed conversion ratio of diploid and triploid induced juvenile turbot reared at different water temperatures. Aquaculture, 543, 736981. https://doi.org/10.1016/j.aquaculture.2021.736981",
LG,yes,1_0040,yes,wild,n/a,yes,Long-term effects of temperatures on the physiological response of juveniles of the eurythermal sub-antarctic notothenioid Eleginops maclovinus,NA,2021,Aquaculture,n/a,no,doi.org/10.1016/j.aquaculture.2020.735797,"Oyarzún-Salazar, R., Rojas, J. J., Pontigo, J. P., Mardones, O., Muñoz, J. L. P., Dantagnan, P., & Vargas-Chacoff, L. (2021). Long-term effects of temperatures on the physiological response of juveniles of the eurythermal sub-antarctic notothenioid Eleginops maclovinus. Aquaculture, 530, 735797. https://doi.org/10.1016/j.aquaculture.2020.735797",
JS,n/a,2_0032,,wild,,yes,"The Development of Doctor Fish, Garra rufa (Heckel, 1843), Larvae and the Effect of Temperature on their Growth.",NA,2021,Fresenius Environmental Bulletin,no,,https://hdl.handle.net/20.500.12428/3676,"Celik, P. (2021). The Development of Doctor Fish, Garra rufa (Heckel, 1843), Larvae and the Effect of Temperature on their Growth. Fresenius Environmental Bulletin, 30(01), 241–249. https://hdl.handle.net/20.500.12428/3676",
JS,,2_0034,,invasive,,,,NA,2021,,,,doi.org/10.1111/fwb.13722,"Seebacher, F., & Kazerouni‐Ghanizadeh, E. (2021). Water flow and temperature interact to determine oxidative status, swimming performance, and dispersal of mosquitofish ( Gambusia holbrooki ). Freshwater Biology, 66(7), 1366–1374. https://doi.org/10.1111/fwb.13722",
HM,,2_0090,yes,wild,,yes,,NA,2021,,no,,https://doi.org/10.1111/aje.12939,"Effects of environmental temperature on the growth performance of a tropical Oreochromis esculentus (Graham, 1928). Implications for the species conservation",
LG,yes,1_0033,yes,wild,n/a,yes,Oxygen isotope fractionation of otoliths formed across the maximum thermal range for somatic growth of the American eel Anguilla rostrata,NA,2022,Chemical Geology,n/a,,https://doi.org/10.1016/j.chemgeo.2021.120706,"Holden, C. V., Kyser, T. K., Longstaffe, F. J., Wang, Y., & Casselman, J. M. (2022). Oxygen isotope fractionation of otoliths formed across the maximum thermal range for somatic growth of the American eel Anguilla rostrata. Chemical Geology, 591, 120706. https://doi.org/10.1016/j.chemgeo.2021.120706",
HM,,2_0080,no--contacted author..see note,,,,,,2022,,,,https://doi.org/10.1016/j.crphys.2022.02.002,,Effect of thermal variation on the cardiac thermal limits of a eurythermal marine teleost (Girella nigricans)
NM,,2_0044,yes,wild,,yes,,NA,2023,,,,doi.org/10.1111/jfb.15448,"Schneider, E. V. C., Zuckerman, Z. C., Talwar, B. S., Cooke, S. J., Shultz, A. D., & Suski, C. D. (2023). Aerobic response to thermal stress across ontogeny and habitats in a teleost fish. Journal of Fish Biology, 103(2), 336–346. https://doi.org/10.1111/jfb.15448",
LG,n/a,2_0004,yes,wild,n/a,yes,Accelerometer-based swimming metabolism of smallmouth bass (Micropterus dolomieu),NA,2024,Journal of Fish Biology,n/a,yes,doi.org/10.1111/jfb.15774,"Brownscombe, J. W., Smith, K., & Bzonek, P. A. (2024). Accelerometer-based swimming metabolism of smallmouth bass (Micropterus dolomieu). Journal of Fish Biology, 105(1), 254–264. https://doi.org/10.1111/jfb.15774",
HM,,2_0067,yes,wild,,yes,,NA,2024,,no,no,https://doi.org/10.1016/j.jtherbio.2024.103951,Physiologically-informed predictions of climate warming effects on native and non-native populations of blue catfish,
HM,,2_0071,yes,wild,,yes,,NA,2025,"Petereit, C., Haslob, H., Kraus, G. et al. The influence of temperature on the development of Baltic Sea sprat (Sprattus sprattus) eggs and yolk sac larvae. Mar Biol 154, 295–306 (2008). https://doi.org/10.1007/s00227-008-0923-1",no,no,https://doi.org/10.1016/j.aquaculture.2024.741537,"Effects of water temperature on growth, health and digestive processes of the thicklip grey mullet<i> Chelon</i><i> labrosus</i>",
LG,yes,1_0008,yes,wild,n/a,yes,"Metabolic costs of spontaneous swimming in Sprattus sprattus L., at different water temperatures",2005,NA,PLoS ONE,n/a,yes,doi.org/10.1371/journal.pone.0225568,"Meskendahl, L., Fontes, R. P., Herrmann, J.-P., & Temming, A. (2019). Metabolic costs of spontaneous swimming in Sprattus sprattus L., at different water temperatures. PLOS ONE, 14(11), e0225568. https://doi.org/10.1371/journal.pone.0225568",
LG,no,1_0009,yes--do the dif sexes make up dif curves? if so i dont think there is enough for a curve for all of them ),wild,n/a,yes,Laboratory‐Based Measurements of Swimming Performance and Related Metabolic Rates of Field‐Sampled Smallmouth Buffalo (Ictiobus bubalus): A Study of Seasonal Changes,1995,NA,Physiological Zoology,n/a,no,doi.org/10.1086/515419,"Adams, S. R., & Parsons, G. R. (1998). Laboratory‐Based Measurements of Swimming Performance and Related Metabolic Rates of Field‐Sampled Smallmouth Buffalo (Ictiobus bubalus): A Study of Seasonal Changes. Physiological Zoology, 71(4), 350–358. https://doi.org/10.1086/515419",
LG,yes,1_0011,yes,wild,n/a,yes,Effects of water temperature on swimming performance of Siniperca knerii Garman under the Yuanshui River cascade development,2019,NA,Israeli Journal of Aquaculture - Bamidgeh,n/a,no,doi.org/10.46989/001c.75236,"Song, B., Liu, L., Su, X., & Li, T. (2023). Effects of water temperature on swimming performance of Siniperca knerii Garman under the Yuanshui River cascade development. Israeli Journal of Aquaculture - Bamidgeh, 75(1). https://doi.org/10.46989/001c.75236",
LG,yes,1_0015,yes,captivity,0001,yes,"Factors affecting growth of killifish, Aphanius dispar, a potential biological control of mosquitoes",1993,NA,Aquaculture,n/a,,doi.org/10.1016/S0044-8486(99)00326-9,"Frenkel, V., & Goren, M. (2000). Factors affecting growth of killifish, Aphanius dispar, a potential biological control of mosquitoes. Aquaculture, 184(3–4), 255–265. https://doi.org/10.1016/S0044-8486(99)00326-9",
HM,yes,1_0017,*need to look at the population / treatment differences**,captivity,,yes,Growth Rate of Yearling Colorado Squawfish at Different Water Temperatures,1982,NA,The Southwestern Naturalist,n/a,no,doi.org/10.2307/3670738,"Black, T., & Bulkley, R. V. (1985). Growth Rate of Yearling Colorado Squawfish at Different Water Temperatures. The Southwestern Naturalist, 30(2), 253–257. https://doi.org/10.2307/3670738",
LG,no,1_0029,yes,captivity,0001,yes,Effects of temperature and salinity on artificially reproduced eggs and larvae of the leopard grouper Mycteroperca rosacea,2002,NA,Aquaculture,n/a,no,doi.org/10.1016/j.aquaculture.2004.04.018,"Gracia-López, V., Kiewek-Martı́nez, M., & Maldonado-Garcı́a, M. (2004). Effects of temperature and salinity on artificially reproduced eggs and larvae of the leopard grouper Mycteroperca rosacea. Aquaculture, 237(1–4), 485–498. https://doi.org/10.1016/j.aquaculture.2004.04.018",
LG,no,1_0035,,captivity,many,yes,Comparison of growth and survival of sea-run and landlocked strains of Atlantic salmon Salmo salar in the Lake Ontario watershed,2001,NA,Journal of Great Lakes Research,n/a,no,doi.org/10.1016/j.jglr.2017.06.007,"Murphy, M. H., Ringler, N. H., & Stewart, D. J. (2017). Comparison of growth and survival of sea-run and landlocked strains of Atlantic salmon Salmo salar in the Lake Ontario watershed. Journal of Great Lakes Research, 43(5), 953–962. https://doi.org/10.1016/j.jglr.2017.06.007",
LG,n/a,2_0003,yes but this one doesn't work to group in r by treatment bc all of them have different food ration treatment--but there is a world where we want the curve anyway and have all of them on one vurve even though they have dif treatments,wild,n/a,yes,Effects of ration size and temperature on the growth of juvenile common carp (Cyprinus carpio L.),1982,NA,Aquaculture,n/a,no,doi.org/10.1016/0044-8486(84)90051-6,"Goolish, E. M., & Adelman, I. R. (1984). Effects of ration size and temperature on the growth of juvenile common carp (Cyprinus carpio L.). Aquaculture, 36(1–2), 27–35. https://doi.org/10.1016/0044-8486(84)90051-6",
HM,n/a,2_0006,*cohort ID is n/a?,wild,n/a,yes,"Swimming energetics and thermal ecology of adult bonefish (Albula vulpes): a combined laboratory and field study in Eleuthera, The Bahamas",2012,NA,Enviornmental Biology of Fishes,n/a,no,doi.org/10.1007/s10641-015-0420-6,"Nowell, L.B., Brownscombe, J.W., Gutowsky, L.F.G. et al. Swimming energetics and thermal ecology of adult bonefish (Albula vulpes): a combined laboratory and field study in Eleuthera, The Bahamas. Environ Biol Fish 98, 2133–2146 (2015). https://doi.org/10.1007/s10641-015-0420-6",
LG,n/a,2_0012,yes,captivity,0001,yes,Thermal tolerance in cutthroat trout of the southern Rocky Mountains,2018,NA,Canadian Journal of Fisheries and Aquatic Sciences,n/a,no,doi.org/10.1139/cjfas-2021-0352,"Rogers, K. B., Sucher, B. J., Hodge, B. W., & Myrick, C. A. (2022). Thermal tolerance in cutthroat trout of the southern Rocky Mountains. Canadian Journal of Fisheries and Aquatic Sciences, 79(12), 2043–2055. https://doi.org/10.1139/cjfas-2021-0352",
LG,n/a,2_0018,yes,wild,,yes,"Feeding of Burbot, Lota lota, at Different Temperature",1997,NA,Environmental Biology of Fishes,n/a,no,doi.org/10.1023/A:1007611606545,"Pääkkönen, J.-P. J., & Marjomäki, T. J. (2000). Feeding of Burbot, Lota lota, at Different Temperatures. Environmental Biology of Fishes, 58(1), 109–112. https://doi.org/10.1023/A:1007611606545",
HM,,2_0047,yes,wild,,yes,,2010,NA,,no,,https://doi.org/10.1590 /S1679-62252013000400012 ,"Fonseca, A. P. D., Volcan, M. V., Sampaio, L. A., Romano, L. A., & Robaldo, R. B. (2013). Growth of Critically Endangered annual fish Austrolebias wolterstorffi (Cyprinodontiformes: Rivulidae) at different temperatures. Neotropical Ichthyology, 11(4), 837–844. https://doi.org/10.1590 /S1679-62252013000400012",
NM,,2_0050,yes,wild,,yes,,1991,NA,,no,no,https://www.semanticscholar.org/paper/Feeding%2C-growth-and-survival-of-juvenile-summer-of-Malloy-Targett/a37cde5f858c5d397e4c86cabdfdbf660fc600af,"Malloy, K.D., & Targett, T.E. (1991). Feeding, growth and survival of juvenile summer flounder Paralichthys dentatus:Experimental analysis of the effects of temperature and salinity. Marine Ecology Progress Series, 72, 213-223.",
NM,,2_0051,yes,wild,,yes,,2023,NA,,no,no,https://doi.org/10.1093/conphys/coad022,"Jacey C Van Wert, Brian Hendriks, Andreas Ekström, David A Patterson, Steven J Cooke, Scott G Hinch, Erika J Eliason, Population variability in thermal performance of pre-spawning adult Chinook salmon, Conservation Physiology, Volume 11, Issue 1, 2023, coad022, https://doi.org/10.1093/conphys/coad022",
NM,,2_0052,yes,wild ,,yes,,1996,NA,,no,no,https://doi.org/10.1111/j.1095-8649.1996.tb00017.x,Feeding and growth of juvenile sea bass: the effect of ration and temperature on growth rate and efficiency,
NM,,2_0053,yes,wild,,yes,,2002,NA,,no,no,https://doi.org/10.1016/S0306-4565(02)00006-2,Turning up the heat on subzero fish: thermal dependence of sustained swimming in an Antarctic notothenioid,
HM,,2_0054,yes,wild,,yes,,2022,NA,,no,yes,https://doi.org/10.1093/conphys/coac022,"Guo, L. W., Jordaan, A., Schultz, E. T., & McCormick, S. D. (2022). Identification of supraoptimal temperatures in juvenile blueback herring ( Alosa aestivalis ) using survival, growth rate and scaled energy reserves. Conservation Physiology, 10(1), coac022. https://doi.org/10.1093/conphys/coac022",
HM,,2_0055,yes,wild,,yes,,2019,NA,,no,yes,https://doi.org/10.1007/s00360-019-01212-0,Anintertidal fish shows thermal acclimation despite living in a rapidly fluctuating environment,see suplemental data
HM,,2_0056,yes,wild,,yes,,2016,NA,,no,no,https://doi.org/10.1016/j.aquaculture.2019.02.025,Impact of temperature and growth hormone on growth physiology of juvenile Atlantic wolffish (Anarhichas lupus),
HM,,2_0057,yes,wild,,yes,,2008,NA,,no,no,10.1080/00028487.2013.765503,Upper Thermal Tolerance of Mountain Whitefish Eggs and Fry,
HM,,2_0058,yes,wild,direct offspring of wild,yes,,2011,NA,,no,no,https://doi.org/10.3354/meps09643 ,Effect of incubation temperature on growth performance in Atlantic salmon,"these curves should be averaged--ie. there are reported values for each fish but instead of treating them like a bunch of ind curves, av the values at each temp and treat as mean curves"
HM,,2_0060,yes,wild,,yes,,2013,NA,,no,no,https://doi.org/10.1016/j.dsr2.2016.04.004,"Estimation of the relationship between growth, consumption, and energy allocation in juvenile pacific cod (Gadus macrocephalus) as a function of temperature and ration",
HM,,2_0061,yes,wild,,yes,,2008,NA,,no,no,https://doi.org/10.1111/j.1600-0633.2010.00470.x,The role of temperature in prey capture probability of drift-feeding juvenile brown trout (salmo trutta),
HM,,2_0062,yes,wild,,yes,,2009,NA,,no,no,https://doi.org/10.1242/jeb.060517,Exceptional aerobic scope and cardiovascular performance of pink salmon (Oncorhynchus gorbuscha) may underlie resilience in a warming climate,
HM,,2_0064,yes,wild,,yes,,1997,NA,,,,https://scispace.com/pdf/growth-and-behavioral-responses-to-elevated-temperatures-by-19yxornqkg.pdf,Growth and behavioral responses to elevated temperatures by juvenile sablefish <i>Anoplopoma fimbria</i> and the interactive role of food availability,
NM,,2_0065,yes,wild,,yes,,2012,NA,,no,no,https://doi.org/10.1242/jeb.140194,Acclimation potential of Arctic cod (Boreogadus saida) from the rapidly warming Arctic Ocean,
NM,,2_0068,yes,wild,,yes,,2008,NA,,no,no,https://doi.org/10.1111/j.1095-8649.2011.03121.x,A temperature-dependent growth model for the three-spined stickleback Gasterosteus aculeatus,
HM,,2_0072,no--confused on how to extract when points are based on equations they fit?,wild,,yes,,2012,NA,,no,no,10.1016/j.cbpa.2014.09.033,The effect of temperature and body size on metabolic scope of activity in juvenile Atlantic cod <i>Gadus morhua</i> L.,tagged under need second look
HM,,2_0075,yes,wild,direct offpsring/eggs from wild individual ,yes,,1991,NA,,no,no,https://doi.org/10.1016/0044-8486(94)90341-7,"EFFECTS OF TEMPERATURE AND FOOD DENSITY ON EGG DEVELOPMENT, LARVAL SURVIVAL AND GROWTH OF PERCH (PERCA-FLUVIATILIS L)",
HM,,2_0077,yes,wild,,yes,,2020,NA,,no,no,https://doi.org/10.1007/s10641-021-01195-4,Embryonic development and effect of water temperature on hatching of Lophius litulon,
HM,,2_0084,yes,wild,,yes,,2019,NA,,no,no,https://doi.org/10.1002/jez.2827,Intraspecific variation in thermal performance curves for early development in Fundulus heteroclitus,
HM,,2_0085,yes,wild,,yes,,1994,NA,,no,no,https://doi.org/10.1007/BF02523274,Effect of temperature on embryonic and larval development of bream (Abramis brama L.),
HM,,2_0088,yes,wild,,yes,,2009,NA,,,,https://doi.org/10.1111/jfb.12257,"Temperature-mediated survival, development and hatching variation of Pacific cod Gadus macrocephalus eggs",
HM,,2_0091,yes,wild,,yes,,2019,NA,,no,no,https://doi.org/10.3389/fevo.2024.1290083,Interactive effects of temperature and velocity on the feeding behavior of competing native and invasive stream fishes,
HM,,2_0092,yes,wild,,yes,,1999,NA,,no,no,https://doi.org/10.1111/j.1365-2427.2005.01404.x,Water temperature determines strength of top-down control in a stream food web,
