initials,in_2.0_search,study_ID,complete?,fish_source,captive_#_generations,peer_reviewed,title,data_collection_year,pub_year,journal,thesis_chapter,supplementary-data,doi,citation-APA,notes
HM,yes,1_0018,,captivity,,yes,Effects of Temperature on the Growth of Japanese Flounder,NA,1994,Fisheries Science,n/a,no,doi.org/10.2331/fishsci.60.527,"Iwata, N., Kikuchi, K., Honda, H., Kiyono, M., & Kurokura, H. (1994). Effects of Temperature on the Growth of Japanese Flounder. Fisheries Science, 60(5), 527–531. https://doi.org/10.2331 /fishsci.60.527",
LG,no,1_0039,yes,captivity,0001,yes,Energy Partitioning During Fish Development: Additive or Compensatory Allocation of Energy to Support Growth?,NA,1994,Functional Ecology,n/a,no,doi.org/10.2307/2389901,"Rombough, P. J. (1994). Energy Partitioning During Fish Development: Additive or Compensatory Allocation of Energy to Support Growth? Functional Ecology, 8(2), 178. https://doi.org/10.2307/2389901",
LG,yes,1_0020,exp. design,wild,n/a,yes,"Respiration rate of adult pilchard Sardinops sagax in relation to temperature, voluntary swimming speed and feeding behaviour",NA,1995,Marine Ecology Progress Series,n/a,no,doi.org/10.3354/meps129041,"Van Der Lingen, C. (1995). Respiration rate of adult pilchard Sardinops sagax in relation to temperature, voluntary swimming speed and feeding behaviour. Marine Ecology Progress Series, 129, 41–54. https://doi.org/10.3354/meps129041",
LG,yes,1_0023,yes,captivity,hatchery,yes,Feeding and growth of juvenile Japanese flounder Paralichthys olivaceus in relation to temperature and food supply,NA,1995,Netherlands Journal of Sea Research,n/a,,doi.org/10.1016/0077-7579(95)90019-5,"Fonds, M., Tanaka, M., & Van Der Veer, H. W. (1995). Feeding and growth of juvenile Japanese flounder Paralichthys olivaceus in relation to temperature and food supply. Netherlands Journal of Sea Research, 34(1–3), 111–118. https://doi.org/10.1016/0077-7579(95)90019-5",
LG,yes,1_0038,yes,wild,n/a,yes,Effects of size on optimal temperature for growth and growth efficiency of immature Atlantic halibut (Hippoglossus hippoglossus L.),NA,1996,Aquaculture,n/a,no,doi.org/10.1016/0044-8486(95)01240-0,"Björnsson, B., & Tryggvadóttir, S. V. (1996). Effects of size on optimal temperature for growth and growth efficiency of immature Atlantic halibut (Hippoglossus hippoglossus L.). Aquaculture, 142(1–2), 33–42. https://doi.org/10.1016/0044-8486(95)01240-0",
NM,n/a,2_0026,,wild,,yes,The effect of temperature and photoperiod on the growth of juvenile spotted grunter pomadasys commersonnii (Pisces: Haemulidae),NA,1996,South African Journal of Marine Science,no,no,doi.org/10.2989/025776196784158365,"Deacon, N., & Hecht, T. (1996). The effect of temperature and photoperiod on the growth of juvenile spotted grunter pomadasys commersonnii (Pisces: Haemulidae). South African Journal of Marine Science, 17(1), 55–60. https://doi.org/10.2989/025776196784158365",
LG,n/a,2_0021,yes,wild,,yes,"Some environmental factors affecting the reproduction of Aphanius dispar (Rüppell, 1828)",NA,1997,Hydrobiologia,n/a,no,doi.org/10.1023/A:1003000225293,"Frenkel, V., & Goren, M. (1997). Some environmental factors affecting the reproduction of Aphanius dispar (Rüppell, 1828). Hydrobiologia, 347, 197–207. https://doi.org/10.1023/A:1003000225293",
HM,n/a,2_0025,,wild,,yes,The effect of temperature on growth of juvenile bloater,NA,1997,Journal of Great Lakes Research,n/a,no,doi.org/10.1016/S0380-1330(97)70927-4,"Edsall, T. A., & Frank, A. M. (1997). The effect of temperature on growth of juvenile bloater. Journal of Great Lakes Research, 23(4), 468–471. https://doi.org/10.1016/S0380-1330(97)70927-4",
NM,,2_0041,yes,wild,,yes,,NA,1998,,,,doi.org/10.1242/jeb.201.3.317,"Temple, G. K., & Johnston, I. A. (1998). Testing Hypotheses Concerning The Phenotypic Plasticity Of Escape Performance In Fish Of The Family Cottidae. Journal of Experimental Biology, 201(3), 317–331. https://doi.org/10.1242/jeb.201.3.317",
HM,n/a,2_0009,*temp error check,wild,n/a,yes,The Growth–Temperature Relation of Juvenile Lake Whitefish,NA,1999,Americans Fisheries Society,n/a,no,doi.org/10.1577/1548-8659(,"Edsall, T. A. (1999). The Growth–Temperature Relation of Juvenile Lake Whitefish. Transactions of the American Fisheries Society, 128(5), 962–964. https://doi.org/10.1577/1548-8659",
HM,,2_0069,yes,wild,,yes,,NA,1999,,no,no,https://www.researchgate.net/publication/285963104_Influence_of_distillery_effluent_on_feeding_energetics_of_freshwater_fish_in_relation_to_water_temperature,Influence of distillery effluent on feeding energetics of freshwater fish in relation to water temperature,
LG,yes,1_0026,,captivity,0002,yes,"Thermal sensitivity of growth, food intake and activity of juvenile brown trout",NA,2001,Journal of Thermal Biology,n/a,no,doi.org/10.1016/S0306-4565(00)00038-3,"Ojanguren, A. F., Reyes-Gavilán, F. G., & Braña, F. (2001). Thermal sensitivity of growth, food intake and activity of juvenile brown trout. Journal of Thermal Biology, 26(3), 165–170. https://doi.org/10.1016/S0306-4565(00)00038-3",
HM,,2_0074,yes,wild,,yes,,NA,2001,,no,no,https://doi.org/10.1007/s003600000172,Stenotherms at sub-zero temperatures: thermal dependence of swimming performance in Antarctic fish,
LG,yes,1_0005,,captivity,many,yes,Effect of temperature on swimming performance of sea bass juveniles,NA,2002,Journal of Fish Biology,n/a,no,doi.org/10.1111/j.1095-8649.2002.tb02418.x,"Koumoundouros, G., Sfakianakis, D. G., Divanach, P., & Kentouri, M. (2002). Effect of temperature on swimming performance of sea bass juveniles. Journal of Fish Biology, 60(4), 923–932. https://doi.org/10.1111/j.1095-8649.2002.tb02418.x",
HM,yes,1_0037,,wild,n/a,yes,"The effect of fasting and refeeding on temperature preference, activity and growth of roach, Rutilus rutilus",NA,2002,Oecologia,n/a,no,doi.org/10.1007/s00442-001-0830-3,"Van Dijk, P., Staaks, G., & Hardewig, I. (2002). The effect of fasting and refeeding on temperature preference, activity and growth of roach, Rutilus rutilus. Oecologia, 130(4), 496–504. https://doi.org/10.1007/s00442-001-0830-3",
JS,n/a,2_0030,,wild,,yes,"Effect of temperature on growth and survival of Chirostoma estor estor, Jordan 1879, monitored using a simple video technique for remote measurement of length and mass of larval and juvenile fishes",NA,2002,Aquaculture,no,no,doi.org/10.1016/S0044-8486(01)00873-0,"Martı́nez-Palacios, C. A., Barriga Tovar, E., Taylor, J. F., Rı́os Durán, G., & Ross, L. G. (2002). Effect of temperature on growth and survival of Chirostoma estor estor, Jordan 1879, monitored using a simple video technique for remote measurement of length and mass of larval and juvenile fishes. Aquaculture, 209(1–4), 369–377. https://doi.org/10.1016/S0044-8486(01)00873-0",
JS,n/a,2_0028,yes,wild,,yes,"Effects of Temperature and Salinity on Growth of Juvenile Black Sea Bass, with Implications for Aquaculture",NA,2003,North American Journal of Aquaculture,no,no,doi.org/10.1577/C02-037,"Cotton, C., Walker, R., & Recicar, T. (2003). Effects of Temperature and Salinity on Growth of Juvenile Black Sea Bass, with Implications for Aquaculture. North American Journal of Aquaculture, 65, 330–338. https://doi.org/10.1577/C02-037",
NM,n/a,2_0031,,wild,,yes,Impact of temperature on food intake and growth in juvenile burbot,NA,2003,,no,no,doi.org/10.1046/j.1095-8649.2003.00252.x,"Hofmann, N., & Fischer, P. (2003). Impact of temperature on food intake and growth in juvenile burbot. Journal of Fish Biology, 63(5), 1295–1305. https://doi.org/10.1046/j.1095-8649.2003.00252.x",
HM,n/a,2_0016,*need to look at,captivity,,yes,"Effects of temperature on growth and metabolism in a Mediterranean population of European sea bass, Dicentrarchus labrax",NA,2004,Aquaculture,n/a,no,doi.org/10.1016/j.aquaculture.2004.04.021,"Person-Le Ruyet, J., Mahé, K., Le Bayon, N., & Le Delliou, H. (2004). Effects of temperature on growth and metabolism in a Mediterranean population of European sea bass, Dicentrarchus labrax. Aquaculture, 237(1–4), 269–280. https://doi.org/10.1016/j.aquaculture.2004.04.021",
HM,,2_0049,yes,captivity,,,,NA,2004,,,,https://doi.org/10.1016/j.aquaculture.2004.04.021,"Effects of temperature on growth and metabolism in a Mediterranean population of European sea bass, <i>Dicentrarchus labrax</i>",
HM,,2_0095,yes,wild,,yes,,NA,2004,,,,https://doi.org/10.1016/j.jembe.2004.07.007,Effect of temperature and salinity on the energetics of juvenile gray snapper (Lutjanus griseus): implications for nursery habitat value,
LG,yes,1_0003,sample size missing,captivity,farm,yes,"Thermal tolerance, growth and oxygen consumption of Labeo rohita fry (Hamilton, 1822) acclimated to four temperatures",NA,2005,Journal of Thermal Biology,n/a,no,doi.org/10.1016/j.jtherbio.2005.03.001,"Das, T., Pal, A. K., Chakraborty, S. K., Manush, S. M., Sahu, N. P., & Mukherjee, S. C. (2005). Thermal tolerance, growth and oxygen consumption of Labeo rohita fry (Hamilton, 1822) acclimated to four temperatures. Journal of Thermal Biology, 30(5), 378–383. https://doi.org/10.1016/j.jtherbio.2005.03.001",
LG,no,1_0019,yes,wild,n/a,yes,Temperature influences the coercive mating and swimming performance of male eastern mosquitofish,NA,2005,Animal Behaviour,n/a,no,doi.org/10.1016/j.anbehav.2004.12.024,"Wilson, R. S. (2005). Temperature influences the coercive mating and swimming performance of male eastern mosquitofish. Animal Behaviour, 70(6), 1387–1394. https://doi.org/10.1016/j.anbehav.2004.12.024",
HM,,2_0042,yes,wild,,yes,,NA,2005,,,,doi.org/10.1016 /j.jembe.2005.01.009,"Wuenschel, M. J., Jugovich, A. R., & Hare, J. A. (2005). Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321(2), 145–154. https://doi.org/10.1016 /j.jembe.2005.01.009",
HM,,2_0015,yes,wild,,yes,The effect of temperature on the energetic growth efficiency of Arctic charr (Salvelinus alpinus L.) from four Swedish populations,NA,2005,Journal of Thermal Biology,n/a,no,doi.org/10.1016/j.jtherbio.2004.06.001,"Larsson, S., & Berglund, I. (2005). The effect of temperature on the energetic growth efficiency of Arctic charr (Salvelinus alpinus L.) from four Swedish populations. Journal of Thermal Biology, 30(1), 29–36. https://doi.org/10.1016/j.jtherbio.2004.06.001",
HM,,2_0073,yes,wild,direct offspring of wild,yes,,NA,2005,,no,no,https://doi.org/10.1111/j.1095-8649.1998.tb00795.x,Growth and food consumption of 0+ Arctic charr fed pelleted or natural food at six different temperatures,
LG,yes,1_0007,,captivity,farm,yes,Effect of temperature on maximum swimming speed and cost of transport in juvenile European sea bass (Dicentrarchus labrax).,NA,2006,"Journal of Experimental Biology,",n/a,no,doi.org/10.1242/jeb.02346,"Claireaux, G., Couturier, C., & Groison, A.-L. (2006). Effect of temperature on maximum swimming speed and cost of transport in juvenile European sea bass ( Dicentrarchus labrax ). Journal of Experimental Biology, 209(17), 3420–3428. https://doi.org/10.1242/jeb.02346",
LG,yes,1_0010,,captivity,many,yes,Effects of Temperature and Body Size on the Swimming Speed of Larval and Juvenile Atlantic Cod (Gadus Morhua): Implications for Individual-based Modelling,NA,2006,Environmental Biology of Fishes,n/a,no,doi.org/10.1007/s10641-006-0031-3,"Peck, M. A., Buckley, L. J., & Bengtson, D. A. (2006). Effects of Temperature and Body Size on the Swimming Speed of Larval and Juvenile Atlantic Cod (Gadus Morhua): Implications for Individual-based Modelling. Environmental Biology of Fishes, 75(4), 419–429. https://doi.org/10.1007/s10641-006-0031-3",
HM,no,1_0014,check,captivity,,yes,Effect of temperature on growth and energy budget of juvenile cobia (Rachycentron canadum,NA,2006,Aquaculture,n/a,no,doi.org/10.1016/j.aquaculture.2006.07.028 ,"Sun, L., Chen, H., & Huang, L. (2006). Effect of temperature on growth and energy budget of juvenile cobia (Rachycentron canadum). Aquaculture, 261(3), 872–878. https://doi.org/10.1016 /j.aquaculture.2006.07.028",
LG,yes,1_0032,,captivity,e-mailed author 07/11,yes,The effect of temperature and fish size on growth and feed efficiency ratio of juvenile spotted wolffish Anarhichas minor,NA,2006,Journal of Fish Biology,n/a,no,doi.org/10.1111/j.0022-1112.2006.00989.x,"Imsland, A. K., Foss, A., Sparboe, L. O., & Sigurdsson, S. (2006). The effect of temperature and fish size on growth and feed efficiency ratio of juvenile spotted wolffish Anarhichas minor. Journal of Fish Biology, 68(4), 1107–1122. https://doi.org/10.1111/j.0022-1112.2006.00989.x",
HM,n/a,2_0010,*acclim temp should be test temp,captivity,,yes,Effects of temperature on the growth of pollack (Pollachius pollachius) juveniles,NA,2006,Aquaculture,n/a,no,doi.org/10.1016/j.aquaculture.2005.06.029,"Person-Le Ruyet, J., Buchet, V., Vincent, B., Le Delliou, H., & Quéméner, L. (2006). Effects of temperature on the growth of pollack (Pollachius pollachius) juveniles. Aquaculture, 251(2–4), 340–345. https://doi.org/10.1016/j.aquaculture.2005.06.029",
HM,,2_0070,yes,wild,,yes,,NA,2006,,no,no,10.1086/592027,Can Phenotypic Plasticity Facilitate the Geographic Expansion of the Tilapia <i>Oreochromis mossambicus?</i>,
NM,,2_0046,yes,wild,,yes,,NA,2007,,,,doi.org/10.1016/j.aquaculture.2006.10.038,"Kling, L. J., Muscato Hansen, J., & Jordaan, A. (2007). Growth, survival and feed efficiency for post- metamorphosed Atlantic cod (Gadus morhua) reared at different temperatures. Aquaculture, 262(2), 281–288. https://doi.org/10.1016/j.aquaculture.2006.10.038",
HM,,2_0079,yes,wild,,yes,,NA,2007,,no,no,https://doi.org/10.1016/j.aquaculture.2007.06.026,Growth model for Atlantic cod (Gadus morhua): Effects of temperature and body weight on growth rate,"eggs collected in wild, fertilized on board. Don’t have error for any of the raw data means//only errors for the model parameters..
"
LG,yes,1_0022,yes,wild,n/a,yes,Evaluation of the Swimming Ability of Wild-caught Onychostoma barbatula (Cyprinidae) and applications to fishway design for rapid streams in Taiwan,NA,2008,The Raffles Bulletin of Zoology,n/a,no,https://www.science.nus.edu.sg/wp-content/uploads/sites/11/2024/05/s19rbz273-284.pdf,"Lin, P.-J., Ni, I-Hsun, & Huang, Bao-Quey. (2008). Evaluation of The Swimming Ability of Wild-caught Onychostoma barbatula (Cyprinidae) and Applications to Fishway Deisgn for Rapid Streams in Taiwan. The Raffles Bulletin of Zoology, Supplement No. 19, 273–284.",
LG,n/a,2_0001,yes,wild,n/a,yes,The effects of acute temperature change on swimming performance in bluegill sunfish Lepomis macrochirus,NA,2008,The Journal of Experimental Biology,n/a,no,doi.org/10.1242/jeb.014688,"Jones, E. A., Jong, A. S., & Ellerby, D. J. (2008). The effects of acute temperature change on swimming performance in bluegill sunfish Lepomis macrochirus. Journal of Experimental Biology, 211(9), 1386–1393. https://doi.org/10.1242/jeb.014688",
HM,n/a,2_0005,,wild,n/a,yes,Swimming Performance and Energetics as a Function of Temperature in Killifish Fundulus heteroclitus,NA,2008,Physiological and Biochemical Zoology,n/a,no,doi.org/10.1086/589109,"Fangue, N. A., Mandic, M., Richards, J. G., & Schulte, P. M. (2008). Swimming performance and energetics as a function of temperature in killifish Fundulus heteroclitus. Physiological and biochemical zoology : PBZ, 81(4), 389–401. https://doi.org/10.1086/589109",
LG,n/a,2_0036,yes,wild,,yes,Effects of temperature on survival and growth of juvenile spinefoot rabbitfish (Siganus rivulatus),NA,2008,Aquaculture Research,n/a,no,doi.org/10.1111/j.1365-2109.2007.01903.x,"Saoud, I. P., Mohanna, C., & Ghanawi, J. (2008). Effects of temperature on survival and growth of juvenile spinefoot rabbitfish (Siganus rivulatus). Aquaculture Research, 39(5), 491–497. https://doi.org/10.1111/j.1365-2109.2007.01903.x",
HM,yes,1_0001,yes--imp to look at for indtemp data grouping,captivity,farm,yes,Effect of temperature on swimming performance in juvenile southern catfish (Silurus meridionalis),NA,2009,Comparative Biochemistry and Physiology,n/a,,doi.org/10.1016/j.cbpa.2009.01.013,"Zeng, L.-Q., Cao, Z.-D., Fu, S.-J., Peng, J.-L., & Wang, Y.-X. (2009). Effect of temperature on swimming performance in juvenile southern catfish (Silurus meridionalis). Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 153(2), 125–130. https://doi.org/10.1016 /j.cbpa.2009.01.013",
HM,n/a,2_0011,check back -  the blanks*,captivity,,yes,"Survival and Growth of Juvenile Marine Pejerrey, Odontesthes argentinensis, Reared at Different Temperatures",NA,2010,World Aquaculture Society,n/a,no,doi.org/10.1111/j.1749-7345.2010.00436.x,"Streit, D. P., Tesser, M. B., Burkert, D., Castaño Sanchez, C., & Sampaio, L. A. (2010). Survival and Growth of Juvenile Marine Pejerrey, Odontesthes argentinensis, Reared at Different Temperatures. Journal of the World Aquaculture Society, 41(6), 931–935. https://doi.org/10.1111/j.1749-7345.2010.00436.x",
HM,n/a,2_0013,,captivity,,yes,Physiological responses of Chinese longsnout catfish to water temperature,NA,2011,Chinese Journal of Oceanology and Limnology,n/a,no,doi.org/10.1007/s00343-011-0165-9,"Han, D., Xie, S., Zhu, X., & Yang, Y. (2011). Physiological responses of Chinese longsnout catfish to water temperature. Chinese Journal of Oceanology and Limnology, 29(3), 633–639. https://doi.org/10.1007 /s00343-011-0165-9",
LG,yes,1_0025,,captivity,hatchery,yes,"Effects of temperature on the foraging and growth rate of juvenile common carp, Cyprinus carpio",NA,2012,Journal of Thermal Biology,n/a,no,doi.org/10.1016/j.jtherbio.2011.11.005,"Oyugi, D. O., Cucherousset, J., Baker, D. J., & Britton, J. R. (2012). Effects of temperature on the foraging and growth rate of juvenile common carp, Cyprinus carpio. Journal of Thermal Biology, 37(1), 89–94. https://doi.org/10.1016/j.jtherbio.2011.11.005",
HM,,2_0038,yes,,,,,NA,2012,,,yes,doi.org/10.1086/664584,"Healy, T. M., & Schulte, P. M. (2012). Thermal Acclimation Is Not Necessary to Maintain a Wide Thermal Breadth of Aerobic Scope in the Common Killifish ( Fundulus heteroclitus ). Physiological and Biochemical Zoology, 85(2), 107–119. https://doi.org/10.1086/664584","extraction is in process, still need accute curves and to fill in a lot of the other columns"
NM,,2_0039,yes,wild,,yes,Conservation Aquaculture of Northern Leatherside Chub and Effects of Temperature on Egg Survival,NA,2012,,,,doi.org/10.1080/15222055.2012.686007,"Bartley, M. S., Wagner, E. J., & Oplinger, R. W. (2012). Conservation Aquaculture of Northern Leatherside Chub and Effects of Temperature on Egg Survival. North American Journal of Aquaculture, 74(3), 289–296. https://doi.org/10.1080/15222055.2012.686007",
HM,,2_0063,yes,wild,direct offspring of wild,yes,,NA,2012,,no,no,10.1007/s10499-012-9571-z,"Effects of temperature on growth, survival and body composition in larvae of barbel, Barbus barbus (L.)",
HM,,2_0083,yes,wild,,yes,,NA,2013,,no,no,https://doi.org/10.1111/gcb.12455,Life on the edge: thermal optima for aerobic scope of equatorial reef fishes are close to current day temperatures,
LG,yes,1_0031,yes,wild,n/a,yes,Effect of temperature on the predation rate of the pearl cichlid (Geophagus brasiliensis) on the channeled applesnail (Pomacea canaliculata).,NA,2014,Latin American Journal of Aquatic Research,n/a,no,doi.org/10.3856/vol42-issue5-fulltext-10,"Rabello Da Silva, A., & Chim Figueiredo, M. R. (2014). Effect of temperature on the predation rate of the pearl cichlid (Geophagus brasiliensis) on the channeled applesnail (Pomacea canaliculata). Latin American Journal of Aquatic Research, 42(5), 1056–1062. https://doi.org/10.3856/vol42-issue5-fulltext-10",
HM,n/a,2_0007,**acclim temp should be test temp**,wild,n/a,yes,Effect of temperature on swimming performance of juvenile Schizothorax prenanti,NA,2014,Fish Physiology and Biochemistry,n/a,no,doi.org/10.1007/s10695-013-9860-0,"Cai, L., Liu, G., Taupier, R. et al. Effect of temperature on swimming performance of juvenile Schizothorax prenanti . Fish Physiol Biochem 40, 491–498 (2014). https://doi.org/10.1007/s10695-013-9860-0",
HM,n/a,2_0022,,wild,,yes,Increasing ocean temperatures reduce activity patterns of a large commercially important coral reef fish,NA,2014,Global Change Biology,n/a,yes,doi.org/10.1111/gcb.12452,"Johansen, J. L., Messmer, V., Coker, D. J., Hoey, A. S., & Pratchett, M. S. (2014). Increasing ocean temperatures reduce activity patterns of a large commercially important coral reef fish. Global change biology, 20(4), 1067–1074. https://doi-org.proxy3.library.mcgill.ca/10.1111/gcb.12452",emailed authors the sample size data
NM,,2_0045,yes,wild,,yes,,NA,2014,,,,https://doi.org/10.1111/fog.12084,"Laurel, B. J., Danley, C., & Haines, S. (2014). The effects of temperature on growth, development and settlement of northern rock sole larvae ( L epidopsetta polyxystra ). Fisheries Oceanography, 23(6), 495–505. https://doi.org/10.1111/fog.12084",
HM,n/a,2_0008,,wild,n/a,yes,The effect of temperature on repeat swimming performance in juvenile qingbo (Spinibarbus sinensis),NA,2015,Fish Physiology and Biochemistry,n/a,no,doi.org/10.1007/s10695-014-0002-0,"Pang, X., Yuan, X. Z., Cao, Z. D., Zhang, Y. G., & Fu, S. J. (2015). The effect of temperature on repeat swimming performance in juvenile qingbo (Spinibarbus sinensis). Fish physiology and biochemistry, 41(1), 19–29. https://doi.org/10.1007/s10695-014-0002-0",
LG,n/a,2_0017,yes,wild,,yes,Temperature-dependent growth and behavior of juvenile Arctic cod (Boreogadus saida) and co-occurring North Pacific gadids,NA,2016,Polar Biology,n/a,no,doi.org/10.1007/s00300-015-1761-5,"Laurel, B. J., Spencer, M., Iseri, P., & Copeman, L. A. (2016). Temperature-dependent growth and behavior of juvenile Arctic cod (Boreogadus saida) and co-occurring North Pacific gadids. Polar Biology, 39(6), 1127–1135. https://doi.org/10.1007/s00300-015-1761-5",
HM,,2_0082,no *have emailed authors for distinct population data,,,,,NA,2016,,,,doi.org/10.1016/j.cbpa.2016.05.018,"McDonnell, L. H., & Chapman, L. J. (2016). Effects of thermal increase on aerobic capacity and swim performance in a tropical inland fish. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 199, 62–70. https://doi.org/10.1016/j.cbpa.2016.05.018",have emailed authors for distinct population data
NM,,2_0066,yes,wild,,yes,,NA,2016,,no,,https://doi.org/10.1111/gcb.13527,"Effects of ocean acidification increase embryonic sensitivity to thermal extremes in Atlantic cod, Gadus morhua",
HM,yes,1_0016,"**have emailed authors for data in figure 3** fixed except for the data from figure 1, check species",captivity,,yes,"Effect of water temperature on reproductive performance and offspring quality of rare minnow, Gobiocypris rarus",NA,2017,Journal of Thermal Biology,n/a,,doi.org/10.1016/j.jtherbio.2017.05.002,"Luo, S., Jin, S., Su, L., & Wang, J. (2017). Effect of water temperature on reproductive performance and offspring quality of rare minnow, Gobiocypris rarus. Journal of Thermal Biology, 67, 59–66. https://doi.org/10.1016/j.jtherbio.2017.05.002",
HM,n/a,2_0014,,captivity,,yes,The effect of water temperature on growth parameters of intensively reared juvenile peled Coregonus peled,NA,2017,Aquaculture Research,n/a,no,doi.org/10.1111/are.13025,"Matousek, J., Stejskal, V., Prokesova, M. and Kouril, J. (2017), The effect of water temperature on growth parameters of intensively reared juvenile peled Coregonus peled. Aquac Res, 48: 1877-1884. https://doi.org/10.1111/are.13025",
HM,,2_0059,yes,wild,,yes,,NA,2017,,no,no,10.1086/693134,Contrasting fundamental and realized niches: two fishes with similar thermal performance curves occupy different thermal habitats,
HM,,2_0089,yes,wild,,yes,,NA,2017,,,,https://doi.org/10.1016/j.jtherbio.2017.04.006,Temperature effects on aerobic scope and cardiac performance of European perch (Perca fluviatilis),
HM,,2_0093,yes,wild,F1 of wild caught,yes,,NA,2017,,no,no,https://doi.org/10.1038/s41598-017-03300-z ,Differential effects of  developmental thermal plasticity  across three generations of guppies  (Poecilia reticulata): canalization  and anticipatory matching,
